attributes.biome-name,attributes.lineage,attributes.samples-count,id,links.self,relationships.children.links.related,relationships.genomes.links.related,relationships.samples.links.related,relationships.studies.links.related,type
Engineered,root:Engineered,284,root:Engineered,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/studies,biomes
Biogas plant,root:Engineered:Biogas plant,126,root:Engineered:Biogas plant,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/studies,biomes
Wet fermentation,root:Engineered:Biogas plant:Wet fermentation,111,root:Engineered:Biogas plant:Wet fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/studies,biomes
Bioreactor,root:Engineered:Bioreactor,1003,root:Engineered:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/studies,biomes
Continuous culture,root:Engineered:Bioreactor:Continuous culture,648,root:Engineered:Bioreactor:Continuous culture,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/studies,biomes
Marine intertidal flat sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,23,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/studies,biomes
Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,5,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/studies,biomes
Marine sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,35,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/studies,biomes
Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,8,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/studies,biomes
Bioremediation,root:Engineered:Bioremediation,49,root:Engineered:Bioremediation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/studies,biomes
